"","rate_sd1","rate_sd2","rate_sd3","rate_sd4","avg_rate_q1","avg_rate_q2","avg_rate_q3","avg_rate_q4","median_rate_q1","median_rate_q2","median_rate_q3","median_rate_q4","sd_q1","sd_q2","sd_q3","sd_q4","avg_sec_q1","avg_sec_q2","avg_sec_q3","avg_sec_q4","median_sec_q1","median_sec_q2","median_sec_q3","median_sec_q4","range_q1","rate_sd_diff_4_1","Runner","difference","Min","Max","Avg","Gen","Age","Australia","Belarus","Belgium","Canada","Denmark","Finland","France","Germany","India","Ireland","Japan","Mexico","NZ","Russia","Singapore","Spain","Sweden","Switzerland","Ukraine","UK","US","Age15_19","Age20_24","Age25_29","Age30_34","Age35_39","Age40_44","Age45_49","Age50_54","Age55_59","Age60_64","Yards","Team","AvgSeconds","MaxSeconds","MinSeconds"
"226",90.4157066001256,92.7764851159829,126.421517155902,202.435833455114,-7.5,9.85714285714286,44,9.66666666666667,-30,-11,74.5,44.5,59.6238207430554,74.0874643981853,109.937558034853,143.172157442244,3021,2960.42857142857,3057.33333333333,3077.66666666667,3000,2970,3043,3112.5,407,112.020126854988,"Melissa Loke",16,"47:05:00","54:02:00","50:18:00","F",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,"Singapore",3018,3242,2825
"227",90,53.8419202940644,55.9166045702586,98.8433103452125,45,23.5714285714286,43.3333333333333,40,0,15,60,45,80.4984471899924,85.5116254975784,90.4848053542693,67.657224300144,2784,2928.28571428571,3112.5,3267.5,2820,2970,3117.5,3250,185,8.84331034521254,"Anna Søgaard Hanusova",22,"44:00:00","56:10:00","50:32:00","F",38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,"Denmark",3032,3370,2640
"228",58.5227875845526,57.0142004032245,35.5527776692624,56.5579348986506,-27.25,7.57142857142857,8,-19.4,-27,-10,21,9,48.1788335267677,37.5531369560267,24.5981029078802,64.55462802929,2510.8,2555.71428571429,2568.66666666667,2485.4,2493,2563,2574.5,2467,160,-1.96485268590202,"Ihor Sakhanda ",11,"40:31:00","43:25:00","42:12:00","M",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,"Ukraine",2532,2605,2431
"229",228.000548244955,202.692471728079,351.101552260881,929.00958014436,142.75,70.7142857142857,-60.5,70.4,162.5,49,-52,344,209.027988556557,100.022854531209,255.483071846258,530.24786656808,2624.2,2904.28571428571,2848,2802.4,2579,2897,2930.5,2878,1244,701.009031899405,"GHANSHYAM SUDANI",20,"35:36:00","56:20:00","46:47:00","M",24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,"India",2807,3380,2136
"230",92.7626900572998,101.602868350962,37.8452991356478,124.75776528938,-44.25,19.8571428571429,13.3333333333333,17,-55.5,-13,22.5,65,70.8060731858504,117.215917982889,23.5937844922485,116.398883156154,2721,2703.28571428571,2862.33333333333,3005.8,2693,2740,2863,2982,288,31.9950752320801,"Ian Evans",23,"42:00:00","52:35:00","46:59:00","M",39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,"New Zealand",2819,3155,2520
"231",27.3906918496047,70.2566722810012,78.0583115369529,27.0739727413618,-38.75,-15,-7.5,-5,-47.5,-38,6,-4,66.5334502336982,48.4404396189402,41.6241116021311,29.3717551399299,2937.2,2820.85714285714,2849.83333333333,2839.8,2940,2810,2850,2835,65,-0.316719108242907,"Sue Corser",16,"45:53:00","50:00:00","47:41:00","F",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,"Singapore",2861,3000,2753
"232",302.890931965067,208.488094898212,54.8552641047329,133.748644852948,-61.25,-21.4285714285714,29.5,90.8,-43.5,-6,51,42,161.88174696364,141.93190855712,48.5993827121292,171.107568505896,2831.2,2745,2924.5,3120.6,2854,2823,2916.5,3098,421,-169.142287112119,"Andrew McDowall",23,"42:28:00","56:52:00","48:20:00","M",42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,"New Zealand",2900,3412,2548
"233",45.4046620220141,254.42577737029,175.982574894978,158.285501547046,-82.25,79.8571428571429,94.6666666666667,100.6,-74.5,-40,93,30,125.075976910037,310.172225584125,192.35254092421,46.9276038169434,2576,2586.85714285714,3100.5,3544.2,2579,2566,3071.5,3553,126,112.880839525032,"Michael Stuart",23,"35:45:00","59:52:00","48:38:00","M",39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,"New Zealand",2918,3592,2145
"234",72.6653287338604,195.159519612132,90.3297662272336,72.9431285317541,-29.75,-0.285714285714286,21.3333333333333,69.2,0.5,-42,17,54,56.3222868853885,126.105020480852,78.2858011817384,135.963230323496,2918.8,2873.14285714286,3058.33333333333,3251,2939,2866,3075.5,3224,345,0.277799797893678,"Glenn Kelly ",23,"43:52:00","57:50:00","50:21:00","M",47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,"New Zealand",3021,3470,2632
"235",116.917349724781,74.4823405084658,67.5586165242204,127.484508862842,-7.5,1.42857142857143,60.8333333333333,68.6,2,-5,35,25,58.0534236716492,54.5217300497613,136.112698403443,119.855329460145,2872.2,2921.42857142857,3103.33333333333,3431.6,2844,2950,3107.5,3498,260,10.5671591380612,"Jussi Lehtonen",23,"46:50:00","59:00:00","51:15:00","M",47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,"Finland",3075,3540,2810
